id,user_profile_id,correct,question_id,lesson_name,lesson_id,is_external,duration_ms,is_preassessment,timestamp,lesson_type,cloud_learner_id
1242369,375414,True,2,Python_Week3_Bool&String_Q1,669,True,93,True,2024-07-04 15:32:33.274539+00:00,TUT,22302
1239097,374047,True,2,Python_Week2_Basics_Q1a,634,True,131,True,2024-05-27 15:43:08.275589+00:00,TUT,18724
1880918,607692,True,2,Lesson Set 1 - Q14,1276,True,82,True,2025-06-06 17:24:56.725499+00:00,TUT,35487
1241087,374839,True,2,Python_Week4_Function1_Q4d,565,True,172,True,2024-06-12 15:40:02.033154+00:00,TUT,22282
1242188,375327,True,2,Python_Week4_Function1_Q1d,558,True,94,True,2024-07-03 20:18:31.897424+00:00,TUT,18724
1241079,374834,True,2,Python_Week4_Function1_Q4a,562,True,96,True,2024-06-12 15:29:59.358361+00:00,TUT,22282
1242180,375319,False,2,Python_Week5_Function2_Q4,570,True,13606,False,2024-07-03 20:08:27.026893+00:00,TUT,18724
1670050,530200,False,2,Python_Week4_Function1_Q1b,556,True,76057,False,2025-02-27 15:35:28.039507+00:00,TUT,32921
1241073,374828,True,2,Python_Week4_Function1_Q1c,557,True,99,True,2024-06-12 15:20:09.102059+00:00,TUT,22282
1243605,377192,True,2,Python_Week2_Basics_Q6,643,True,132,True,2024-07-31 19:01:57.350612+00:00,TUT,22295
1242673,375564,True,1,Jolt Hears A Story,954,False,26861,False,2024-07-17 18:16:47.048167+00:00,ASM,22295
1242674,375564,True,2,Jolt Hears A Story,954,False,21097,False,2024-07-17 18:17:10.714385+00:00,ASM,22295
1242675,375564,True,3,Jolt Hears A Story,954,False,19957,False,2024-07-17 18:17:33.209985+00:00,ASM,22295
1242676,375564,True,4,Jolt Hears A Story,954,False,18868,False,2024-07-17 18:17:54.368218+00:00,ASM,22295
1241102,374847,False,2,Python_Week2_Basics_Q4b,640,True,15999,False,2024-06-12 15:53:13.515144+00:00,TUT,22282
1241103,374847,True,3,Python_Week2_Basics_Q4b,640,True,18533,False,2024-06-12 15:53:41.306311+00:00,TUT,22282
1241104,374847,True,4,Python_Week2_Basics_Q4b,640,True,12309,False,2024-06-12 15:54:04.074913+00:00,TUT,22282
1241105,374847,False,5,Python_Week2_Basics_Q4b,640,True,36826,False,2024-06-12 15:54:46.705519+00:00,TUT,22282
1880927,607701,True,2,Lesson Set 2 - Q09,1286,True,93,True,2025-06-06 18:33:23.000551+00:00,TUT,19350
1242141,375294,False,2,Python_Week9_Collection1_Q7,491,True,45024,False,2024-07-03 18:29:14.925631+00:00,TUT,22300
